"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"V","pct_deviation",0,0.01032,-8.34458,-0.14486,-0.01823,-0.13097,-0.03406,0.04433
"WP","pct_deviation",0,0,0,0,0,0,0,0
"WPAG","pct_deviation",0,0,0,0,0,0,0,0
"WPCOM","pct_deviation",0,0,0,0,0,0,0,0
"WPOIL","pct_deviation",0,0,0,0,0,0,0,0
"WPX","pct_deviation",0,0,0,0,0,0,0,0
"WR2R","pct_deviation",0,0,0,0,0,0,0,0
"WR2SP","pct_deviation",0.07388,6.61922,5.79953,5.60263,-1.52893,-6.09228,-6.59878,-48.76667
"WRR","pct_deviation",0,0,0,0,0,0,0,0
"WRSP","pct_deviation",-0.91204,-3.54963,-9.6266,-14.14823,-7.82307,-1.04902,3.5014,3.82785
"WY","pct_deviation",0,0,0,0,0,0,0,0
"X","pct_deviation",-0.37558,-0.4507,-0.50889,-0.4834,-0.33537,-0.21802,-0.1868,-0.23206
"XAG","pct_deviation",0,-0.5087,-0.82628,-1.08305,-0.76173,-0.4614,-0.22892,-0.11756
"XAGEXRAIN","pct_deviation",0,-0.5087,-0.82628,-1.08305,-0.76173,-0.4614,-0.22892,-0.11756
"XM","pct_deviation",0,-0.29899,-0.49923,-0.69047,-0.62943,-0.38096,-0.18871,-0.08981
"XO","pct_deviation",0,-1.28509,-1.94278,-2.52016,-2.8484,-2.40462,-1.8524,-1.41506
"XRE","pct_deviation",0,0,0,0,-0.00672,-0.05967,-0.17594,-0.3234
"XS","pct_deviation",-1.68865,-1.41872,-1.17654,-0.81021,-0.25174,-0.0162,0.02833,0.02061
"Y","pct_deviation",-0.06721,-0.57462,-0.60565,-0.39153,-0.01111,0.13641,0.15253,0.08369
