"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"NULCBS","pct_deviation",-0.0022,0.00438,0.00458,-0.00294,-0.05789,-0.02927,0.05953,0.07643
"NUSD","pct_deviation",0.28942,0.5143,0.7286,1.20536,2.10172,2.79683,3.32004,3.46006
"NV","pct_deviation",-0.04246,-0.01079,-0.01532,-0.03472,-0.10331,-0.48585,-0.33368,-0.09981
"NX","pct_deviation",1.0384,1.41927,1.64435,2.0856,2.44526,2.53263,2.71441,2.37498
"NXAG","pct_deviation",-0.1527,-0.29083,-0.43497,-0.77424,-1.48953,-2.13641,-2.68887,-3.01142
"NXM","pct_deviation",-0.11609,-0.25204,-0.39111,-0.72465,-1.4905,-2.22043,-2.85954,-3.26515
"NXO","pct_deviation",1.12184,1.10955,1.09822,1.07353,0.76931,0.49263,0.27935,0.14974
"NXRE","pct_deviation",1.99831,2.50668,3.00718,3.92143,4.96597,5.54193,5.88748,6.3586
"NXS","pct_deviation",-0.0554,-0.10071,-0.14459,-0.24345,-0.43976,-0.59476,-0.71555,-0.77372
"NY","pct_deviation",0.24058,0.38035,0.45827,0.62239,0.97364,1.18975,1.33031,1.22428
"NYEXCOE","pct_deviation",0.4555,0.71155,0.86007,1.16548,1.77943,2.05107,2.2316,2.03365
"OTC","pct_deviation",0,-0.0011,0.00411,0.04423,-0.01621,-0.70435,-1.07341,-0.68512
"P","pct_deviation",-0.00248,-0.0073,-0.01321,-0.03023,-0.08149,-0.13868,-0.19454,-0.25203
"PAE","pct_deviation",0,0.00477,0.01263,0.03303,0.10199,0.18213,0.24902,0.28778
"PC","pct_deviation",-0.00609,-0.01324,-0.02103,-0.04178,-0.09684,-0.15287,-0.20419,-0.25252
"PDFD","pct_deviation",-0.00886,-0.01864,-0.02885,-0.05591,-0.10939,-0.15379,-0.2006,-0.25947
"PDPFD","pct_deviation",-0.00912,-0.0198,-0.03056,-0.05904,-0.11149,-0.15258,-0.19925,-0.26093
"PEX","pct_deviation",1e-05,-0.00132,-0.00421,-0.0149,-0.05408,-0.10211,-0.1512,-0.20717
"PG","pct_deviation",-0.00803,-0.01481,-0.02285,-0.04429,-0.09949,-0.15504,-0.20598,-0.25383
"PGNE","pct_deviation",-0.00886,-0.01865,-0.02879,-0.05577,-0.10895,-0.15291,-0.2005,-0.25981
"PH","pct_deviation",0,-0.00014,-9e-05,0.0033,-0.01986,-0.33913,-0.87202,-1.12575
"PI_E","pct_deviation",0,0,0,0,0,0,0,0
"PIAD","pct_deviation",0.15041,0.1967,0.21816,0.2564,0.2722,0.26278,0.24539,0.14758
"PIB","pct_deviation",-0.02697,-0.06236,-0.10009,-0.17741,-0.24754,-0.24907,-0.29401,-0.32667
"PIBN","pct_deviation",-0.03463,-0.07656,-0.12511,-0.21478,-0.27935,-0.23511,-0.25327,-0.27818
"PIBRE","pct_deviation",-0.00364,-0.00951,-0.01674,-0.03614,-0.09083,-0.14928,-0.20225,-0.25172
"PID","pct_deviation",0,-6e-04,-0.00235,-0.01088,-0.05665,-0.1417,-0.24534,-0.34101
"PM","pct_deviation",-0.20138,-0.40656,-0.59402,-1.01104,-1.83524,-2.49771,-3.01647,-3.22247
"PMCG","pct_deviation",-0.17609,-0.37366,-0.56031,-0.96987,-1.79261,-2.45846,-2.9837,-3.20677
"POIL","pct_deviation",-0.28858,-0.51167,-0.72333,-1.191,-2.05846,-2.72074,-3.21335,-3.34434
"POTC","pct_deviation",0,-0.00121,-0.00361,-0.01176,-0.04343,-0.08991,-0.14036,-0.19054
"PRT","pct_deviation",0,-4e-05,-9e-05,-0.00031,0.00331,0.03158,0.10155,0.19921
"PTM","pct_deviation",1e-05,-0.00132,-0.00422,-0.01491,-0.05402,-0.10225,-0.15148,-0.20726
"PW","pct_deviation",0,0.00353,0.00934,0.02443,0.07544,0.1347,0.18415,0.21281
"PX","pct_deviation",1.04958,1.44298,1.68424,2.16043,2.6009,2.74734,2.92779,2.53178
"PXAG","pct_deviation",-0.1527,-0.27597,-0.39706,-0.67347,-1.23288,-1.72199,-2.14089,-2.36817
"PXM","pct_deviation",-0.11609,-0.24331,-0.36846,-0.66264,-1.31631,-1.92697,-2.46366,-2.79465
"PXO","pct_deviation",1.12184,1.14778,1.19166,1.31459,1.48062,1.7897,2.18636,2.61137
"PXRE","pct_deviation",1.99831,2.50668,3.00718,3.92143,4.9639,5.515,5.7718,6.07164
"PXS","pct_deviation",-0.00564,-0.01285,-0.02075,-0.04147,-0.09674,-0.15291,-0.20418,-0.25254
"PY","pct_deviation",0.23932,0.38383,0.45815,0.60114,0.8066,0.90577,1.05621,0.9514
"R2R","pct_deviation",0.09277,0.45482,0.84105,1.50438,4.45923,13.83875,104.41527,-20.45161
"RBR","pct_deviation",0.00938,-0.03638,-0.07681,-0.04735,1.76165,5.92205,9.86539,4.00056
"RC","pct_deviation",0.00077,0.00224,0.00719,0.03213,0.13535,0.28211,0.41003,0.5321
"RCR","pct_deviation",0.0277,0.02824,-0.00256,0.01438,2.42277,18.27467,-87.42586,211.10784
"REWI","pct_deviation",0.29054,0.5148,0.72809,1.19519,2.05674,2.6836,3.14442,3.24804
"RLC","pct_deviation",0.00886,0.02343,0.04143,0.08885,0.21117,0.33555,0.45042,0.54902
"RMR","pct_deviation",0.00531,0.01077,0.00155,0.01468,0.98133,3.42765,3.44923,1.39955
"RMRE","pct_deviation",0.00501,-0.02063,-0.09543,-0.30631,0.18154,2.45201,1.83798,-0.34559
"RPH","pct_deviation",-1e-05,0.00118,0.00413,0.01822,0.03418,-0.23712,-0.72164,-0.92039
"RSTAR","pct_deviation",0,0,0,0,0,0,0,0
"RTWI","pct_deviation",0.28943,0.51297,0.72435,1.19027,2.04657,2.69172,3.16353,3.24562
"RTWI_CONST","pct_deviation",0,0,0,0,0,0,0,0
"RULC","pct_deviation",0.00666,0.02304,0.03338,0.05286,0.05101,0.12353,0.26033,0.33713
"RULCY","pct_deviation",-0.24095,-0.378,-0.4515,-0.60046,-0.85767,-0.92694,-0.98648,-0.86671
"SD","pct_deviation",0,0,0,0,0,0,0,0
"TDLLA","pct_deviation",0,0,0,0,0,0,0,0
"TDLLHPP","pct_deviation",0,0,0,0,0,0,0,0
"TDLLPOP","pct_deviation",0,0,0,0,0,0,0,0
"TLLA","pct_deviation",0,0,0,0,0,0,0,0
"TLLHPP","pct_deviation",0,0,0,0,0,0,0,0
"TLLPOP","pct_deviation",0,0,0,0,0,0,0,0
"TLUR","pct_deviation",0,0,0,0,0,0,0,0
"TOT","pct_deviation",1.25349,1.85709,2.29187,3.20385,4.51908,5.37941,6.12914,5.94586
"TY","pct_deviation",0,0,0,0,0,0,0,0
"TY_POT","pct_deviation",0,0,0,0,0,0,0,0
"V","pct_deviation",0,-0.00019,-0.04126,0.00118,0.00956,-0.3658,-0.05699,0.11584
"WP","pct_deviation",0,0,0,0,0,0,0,0
"WPAG","pct_deviation",0,0,0,0,0,0,0,0
"WPCOM","pct_deviation",10,10.52546,11.05342,12.11694,11.95676,11.53607,11.17515,10.8955
"WPOIL","pct_deviation",0,0,0,0,0,0,0,0
"WPX","pct_deviation",0,0,0,0,0,0,0,0
"WR2R","pct_deviation",0,0,0,0,0,0,0,0
"WR2SP","pct_deviation",-0.00138,0.22271,0.30703,0.64559,1.42308,3.19093,5.20318,69.68278
"WRR","pct_deviation",0,0,0,0,0,0,0,0
"WRSP","pct_deviation",0.01703,0.01732,-0.00157,0.00858,1.2225,5.76314,7.03108,4.68054
"WY","pct_deviation",0,0,0,0,0,0,0,0
"X","pct_deviation",-0.01107,-0.02337,-0.03923,-0.07324,-0.1517,-0.20897,-0.20731,-0.15293
"XAG","pct_deviation",0,-0.0149,-0.03806,-0.10146,-0.25986,-0.42168,-0.55996,-0.65885
"XAGEXRAIN","pct_deviation",0,-0.0149,-0.03806,-0.10146,-0.25986,-0.42168,-0.55996,-0.65885
"XM","pct_deviation",0,-0.00875,-0.02274,-0.06243,-0.17651,-0.29923,-0.40589,-0.48402
"XO","pct_deviation",0,-0.03779,-0.09234,-0.23794,-0.70092,-1.27426,-1.8662,-2.39898
"XRE","pct_deviation",0,0,0,0,0.00197,0.02552,0.10937,0.27054
"XS","pct_deviation",-0.04976,-0.08786,-0.12387,-0.20206,-0.34335,-0.44252,-0.51242,-0.5225
"Y","pct_deviation",0.00126,-0.00346,0.00011,0.02113,0.1657,0.28143,0.27123,0.27031
