"variable","unit","h0","h1","h2","h4","h8","h12","h16","h20"
"NHWS","pct_deviation",-0.0021,0.18143,0.22095,0.17125,-0.1139,-0.13349,-0.09189,-0.06593
"NIB","pct_deviation",-0.03636,-0.27164,-0.49842,-0.75742,-0.48963,-0.35635,-0.3302,-0.26743
"NIBN","pct_deviation",-0.04441,-0.35693,-0.66734,-0.95357,-0.45313,-0.22164,-0.29205,-0.25005
"NIBRE","pct_deviation",-0.01679,-0.07036,-0.15661,-0.35008,-0.53216,-0.48855,-0.37571,-0.29304
"NID","pct_deviation",0,-0.83302,-1.50913,-2.44369,0.03915,0.55642,0.30086,0.08955
"NM","pct_deviation",-0.25906,-0.40017,-0.44974,-0.48616,-0.33238,-0.21095,-0.18421,-0.19086
"NMR","pct_deviation",14.86767,9.01904,4.70976,-1.62344,-3.62554,-1.17116,-0.26201,-0.24477
"NOTC","pct_deviation",0,-5.37864,-4.10694,-2.05766,0.54692,0.93366,0.66423,0.37908
"NSD","pct_deviation",0,0,0,0,0,0,0,0
"NSP","pct_deviation",0,0,0,0,0,0,0,0
"NTWI","pct_deviation",0.37131,0.57555,0.63222,0.52355,0.20162,0.06297,0.0524,0.09098
"NULC","pct_deviation",0.00074,0.20994,0.24571,0.1858,-0.17072,-0.24874,-0.23347,-0.2134
"NULCBS","pct_deviation",0.00074,0.20977,0.24533,0.18509,-0.17123,-0.24846,-0.23236,-0.21154
"NUSD","pct_deviation",0.37131,0.57555,0.63222,0.52355,0.20162,0.06297,0.0524,0.09098
"NV","pct_deviation",-0.05467,-0.01332,-0.81791,-0.11149,-0.13694,0.02948,-0.16162,-0.11286
"NX","pct_deviation",-0.21543,-0.36481,-0.41056,-0.37265,-0.1923,-0.10394,-0.09317,-0.12091
"NXAG","pct_deviation",-0.19578,-0.32858,-0.39332,-0.39464,-0.229,-0.12334,-0.08646,-0.09401
"NXM","pct_deviation",-0.14886,-0.28946,-0.36753,-0.3996,-0.28149,-0.16993,-0.11393,-0.10677
"NXO","pct_deviation",-0.05183,-0.10285,-0.12862,-0.12614,-0.10476,-0.08592,-0.06906,-0.0593
"NXRE","pct_deviation",-0.30984,-0.48411,-0.538,-0.46128,-0.20384,-0.08877,-0.0855,-0.13041
"NXS","pct_deviation",-0.07106,-0.11438,-0.12891,-0.12013,-0.10152,-0.10518,-0.11554,-0.12991
"NY","pct_deviation",3e-04,-0.2157,-0.32492,-0.42786,-0.25851,-0.18215,-0.17667,-0.18109
"NYEXCOE","pct_deviation",0.00218,-0.37371,-0.52002,-0.58113,-0.15281,-0.05979,-0.09397,-0.12037
"OTC","pct_deviation",0,-5.37717,-4.1025,-2.04594,0.58464,1.00864,0.76825,0.5015
"P","pct_deviation",-0.00322,-0.01039,-0.01568,-0.03211,-0.0849,-0.12026,-0.13416,-0.14195
"PAE","pct_deviation",0,-2e-05,-0.00685,-0.0502,-0.15903,-0.19454,-0.20154,-0.2047
"PC","pct_deviation",-0.00784,-0.01693,-0.02206,-0.03563,-0.08269,-0.11617,-0.13061,-0.13955
"PDFD","pct_deviation",-0.01151,-1e-04,-0.01351,-0.03214,-0.07674,-0.11621,-0.14018,-0.14484
"PDPFD","pct_deviation",-0.01188,0.00522,-0.01179,-0.03219,-0.07459,-0.11609,-0.1429,-0.14641
"PEX","pct_deviation",-2e-05,-0.00346,-0.0072,-0.02469,-0.08302,-0.12074,-0.13502,-0.14253
"PG","pct_deviation",-0.01034,-0.01891,-0.02284,-0.0375,-0.08505,-0.11669,-0.13041,-0.13924
"PGNE","pct_deviation",-0.01151,-0.00034,-0.01398,-0.03244,-0.07716,-0.11634,-0.1401,-0.14469
"PH","pct_deviation",0,-0.72104,-1.355,-2.01239,-1.21153,-0.24614,0.0029,-0.00521
"PI_E","pct_deviation",0,0,0,0,0,0,0,0
"PIAD","pct_deviation",-0.04618,-0.08306,-0.09802,-0.09918,-0.07888,-0.10092,-0.13072,-0.14021
"PIB","pct_deviation",-0.03263,-0.06902,-0.0931,-0.09301,-0.02331,-0.07698,-0.15669,-0.16134
"PIBN","pct_deviation",-0.04441,-0.08813,-0.12046,-0.11184,0.02372,-0.04217,-0.17913,-0.17573
"PIBRE","pct_deviation",-0.00468,-0.01217,-0.01853,-0.032,-0.07728,-0.11591,-0.13282,-0.14161
"PID","pct_deviation",0,-0.00077,-0.00291,-0.01129,-0.04081,-0.08193,-0.12142,-0.14642
"PM","pct_deviation",-0.25819,-0.46281,-0.5384,-0.48383,-0.22303,-0.09217,-0.06772,-0.09371
"PMCG","pct_deviation",-0.22577,-0.42797,-0.51794,-0.48429,-0.231,-0.09781,-0.06918,-0.09318
"POIL","pct_deviation",-0.36994,-0.57225,-0.62824,-0.52082,-0.20121,-0.06293,-0.05237,-0.0909
"POTC","pct_deviation",0,-0.00156,-0.00463,-0.01197,-0.03751,-0.07423,-0.10323,-0.12181
"PRT","pct_deviation",0,-7e-05,-0.00114,-0.01269,-0.08031,-0.17259,-0.23285,-0.24915
"PTM","pct_deviation",-2e-05,-0.00348,-0.00723,-0.02471,-0.08293,-0.12095,-0.13536,-0.14273
"PW","pct_deviation",0,-1e-05,-0.00507,-0.03714,-0.11767,-0.14395,-0.14912,-0.15147
"PX","pct_deviation",-0.20127,-0.33816,-0.37343,-0.33095,-0.16455,-0.09029,-0.08278,-0.10382
"PXAG","pct_deviation",-0.19578,-0.30953,-0.34908,-0.31216,-0.16292,-0.09099,-0.08063,-0.09796
"PXM","pct_deviation",-0.14886,-0.27827,-0.34105,-0.34814,-0.22789,-0.14154,-0.10734,-0.10971
"PXO","pct_deviation",-0.05183,-0.05442,-0.02142,0.06523,0.12942,0.09676,0.04546,0.00813
"PXRE","pct_deviation",-0.30984,-0.48411,-0.538,-0.46128,-0.20349,-0.0841,-0.06876,-0.09711
"PXS","pct_deviation",-0.00726,-0.01644,-0.02205,-0.03544,-0.08256,-0.11643,-0.13076,-0.13959
"PY","pct_deviation",0.00285,0.02847,0.0247,0.01453,-0.05688,-0.1154,-0.14171,-0.14756
"R2R","pct_deviation",1328.01716,40.09878,27.29753,12.48486,4.46226,-0.82029,-20.24238,3.25516
"RBR","pct_deviation",49.02441,25.3612,11.42527,-1.94337,-4.58112,0.79736,2.12841,0.18009
"RC","pct_deviation",0.00091,-0.07898,-0.17904,-0.26239,-0.25396,-0.14819,-0.1038,-0.08801
"RCR","pct_deviation",145.08454,42.16946,18.94387,-3.97025,-10.14604,-4.62604,0.57287,-29.87186
"REWI","pct_deviation",0.37273,0.57428,0.62882,0.50319,0.12312,-0.05311,-0.07781,-0.047
"RLC","pct_deviation",0.01151,0.00032,0.00712,-0.01776,-0.08194,-0.07829,-0.06153,-0.0601
"RMR","pct_deviation",27.87299,14.79927,7.46563,-1.79251,-3.97526,-0.82671,-0.00728,-0.18284
"RMRE","pct_deviation",24.97824,14.4813,7.4446,-2.53827,-5.72608,-1.98385,-0.46378,-0.44135
"RPH","pct_deviation",2e-05,-0.71759,-1.34787,-1.98818,-1.12954,-0.12534,0.13844,0.13772
"RSTAR","pct_deviation",0,0,0,0,0,0,0,0
"RTWI","pct_deviation",0.3713,0.57205,0.62494,0.49872,0.11852,-0.05805,-0.08303,-0.05187
"RTWI_CONST","pct_deviation",0,0,0,0,0,0,0,0
"RULC","pct_deviation",0.01225,0.21029,0.25972,0.21831,-0.09363,-0.13255,-0.0935,-0.06881
"RULCY","pct_deviation",-0.0021,0.18143,0.22095,0.17125,-0.1139,-0.13349,-0.09189,-0.06593
"SD","pct_deviation",0,0,0,0,0,0,0,0
"TDLLA","pct_deviation",0,0,0,0,0,0,0,0
"TDLLHPP","pct_deviation",0,0,0,0,0,0,0,0
"TDLLPOP","pct_deviation",0,0,0,0,0,0,0,0
"TLLA","pct_deviation",0,0,0,0,0,0,0,0
"TLLHPP","pct_deviation",0,0,0,0,0,0,0,0
"TLLPOP","pct_deviation",0,0,0,0,0,0,0,0
"TLUR","pct_deviation",0,0,0,0,0,0,0,0
"TOT","pct_deviation",0.05707,0.12523,0.16587,0.15363,0.05861,0.00188,-0.01506,-0.01012
"TY","pct_deviation",0,0,0,0,0,0,0,0
"TY_POT","pct_deviation",0,0,0,0,0,0,0,0
"V","pct_deviation",0,0.00039,-3.39984,-0.101,-0.0342,0.14842,0.0031,-0.01716
"WP","pct_deviation",0,0,0,0,0,0,0,0
"WPAG","pct_deviation",0,0,0,0,0,0,0,0
"WPCOM","pct_deviation",0,0,0,0,0,0,0,0
"WPOIL","pct_deviation",0,0,0,0,0,0,0,0
"WPX","pct_deviation",0,0,0,0,0,0,0,0
"WR2R","pct_deviation",0,0,0,0,0,0,0,0
"WR2SP","pct_deviation",-19.74815,19.63546,9.96524,5.35778,1.42405,-0.18914,-1.00871,-11.09097
"WRR","pct_deviation",0,0,0,0,0,0,0,0
"WRSP","pct_deviation",89.21357,25.86029,11.64489,-2.36874,-5.11958,-1.45888,-0.04607,-0.6623
"WY","pct_deviation",0,0,0,0,0,0,0,0
"X","pct_deviation",-0.01419,-0.02674,-0.03727,-0.04184,-0.0278,-0.01367,-0.0104,-0.01711
"XAG","pct_deviation",0,-0.01911,-0.0444,-0.08274,-0.06619,-0.03237,-0.00583,0.00396
"XAGEXRAIN","pct_deviation",0,-0.01911,-0.0444,-0.08274,-0.06619,-0.03237,-0.00583,0.00396
"XM","pct_deviation",0,-0.01122,-0.02657,-0.05165,-0.05372,-0.02843,-0.0066,0.00294
"XO","pct_deviation",0,-0.04846,-0.10723,-0.19124,-0.23388,-0.18251,-0.11447,-0.06743
"XRE","pct_deviation",0,0,0,0,-0.00035,-0.00468,-0.01675,-0.03334
"XS","pct_deviation",-0.0638,-0.09795,-0.10688,-0.08472,-0.01897,0.01126,0.01523,0.00969
"Y","pct_deviation",-0.00254,-0.24409,-0.34953,-0.44233,-0.20175,-0.06682,-0.03501,-0.03357
